,0,1,2,3,4,5,6,7,8,9
The Grandmaster,Tony Chiu-Wai Leung,Shun Lau,Ting Yip Ng,Ziyi Zhang,Chang Chen,To-Hoi Kong,Siu Ping-Lam,Charlie Yeung,,
2046,Tony Chiu-Wai Leung,Gong Li,Faye Wong,Ziyi Zhang,Carina Lau,Chang Chen,Maggie Cheung,Siu Ping-Lam,To-Hoi Kong,Ting Yip Ng
Eros,Gong Li,Chang Chen,,,,,,,,
In the Mood for Love,Maggie Cheung,Tony Chiu-Wai Leung,Siu Ping-Lam,Rebecca Pan,Man-Lei Chan,,,,,
Happy Together,Leslie Cheung,Tony Chiu-Wai Leung,Chang Chen,,,,,,,
Fallen Angels,Takeshi Kaneshiro,Charlie Yeung,Man-Lei Chan,To-Hoi Kong,Lee-Na Kwan,,,,,
Ashes of Time,Brigitte Lin,Leslie Cheung,Maggie Cheung,Tony Chiu-Wai Leung,Jacky Cheung,Carina Lau,Charlie Yeung,Shun Lau,,
Chungking Express,Brigitte Lin,Tony Chiu-Wai Leung,Faye Wong,Takeshi Kaneshiro,Lee-Na Kwan,,,,,
Days of Being Wild,Leslie Cheung,Maggie Cheung,Andy Lau,Carina Lau,Rebecca Pan,Jacky Cheung,Tony Chiu-Wai Leung,,,
As Tears Go By,Andy Lau,Maggie Cheung,Jacky Cheung,To-Hoi Kong,,,,,,
